name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
          ,ESO 577-9    ,13 33 07.6,-22 35 59,.E?....   ,0.98,1.25,14.31,13.21,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 6-5-73   ,01 59 21.8,+36 49 34,.E?....   ,       ,      ,15,                ,          ,4950,ELLIPTICAL GALAXY
IC 2586   ,ESO 436-30   ,10 31 02.8,-28 43 08,.E.4...   ,1.17,0.67,13.66,14.06,          ,3455,ELLIPTICAL GALAXY
NGC 759   ,UGC 1440     ,01 57 50.4,+36 20 32,.E.....   ,1.2,0.63,13.4,14.73,          ,5012,ELLIPTICAL GALAXY
          ,MCG 6-5-40   ,01 53 50.2,+36 21 00,.E?....   ,       ,      ,15.3,                ,          ,4258,ELLIPTICAL GALAXY
NGC 233   ,UGC 464      ,00 43 36.6,+30 35 15,.E...?.   ,1.22,      ,13.44,                ,          ,5612,ELLIPTICAL GALAXY
NGC 2325  ,ESO 427-28   ,07 02 40.5,-28 41 50,.E.4...   ,1.52,1.36,12.38,                ,          ,1956,ELLIPTICAL GALAXY
NGC 7426  ,UGC 12256    ,22 56 03.3,+36 21 42,.E.....   ,1.23,      ,13.31,                ,          ,5557,ELLIPTICAL GALAXY
NGC 6868  ,ESO 233-39   ,20 09 53.8,-48 22 45,.E.2...   ,1.55,1.05,11.71,14.13,          ,2831,ELLIPTICAL GALAXY
IC 4943   ,ESO 233-28   ,20 06 28.3,-48 22 27,.E...P*   ,1.18,0.7,13.84,14.17,          ,2823,ELLIPTICAL GALAXY
NGC 7103  ,ESO 531-15   ,21 39 50.9,-22 28 23,.E+1...   ,1.13,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2699  ,MCG 0-23-14  ,08 55 48.8,-03 07 40,.E...*.   ,1.02,      ,13.63,                ,          ,1660,ELLIPTICAL GALAXY
NGC 1684  ,MCG -1-13-31 ,04 52 31.1,-03 06 23,.E+..P*   ,1.39,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 1116-02B,             ,11 19 23.7,-03 05 29,.E...P*   ,0.58,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1877     ,02 25 38.2,+36 57 51,.E.....   ,1.11,0.88,14.49,14.6,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 436-42   ,10 34 38.4,-28 35 13,.E?....   ,0.82,      ,14.4,                ,          ,3244,ELLIPTICAL GALAXY
NGC 7507  ,ESO 469-19   ,23 12 07.6,-28 32 29,.E.0...   ,1.44,1.01,11.65,13.53,          ,1597,ELLIPTICAL GALAXY
          ,ESO 237-51   ,22 17 16.0,-48 18 06,.E+3.P.   ,1.1,      ,14.83,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 5-31-22  ,12 57 00.0,+30 42 00,.E?....   ,       ,      ,14.5,                ,          ,7308,ELLIPTICAL GALAXY
          ,CGCG 14-13   ,12 21 08.1,-03 02 44,.E.....   ,       ,      ,15.2,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5328  ,ESO 445-67   ,13 52 53.7,-28 29 16,.E.1.*.   ,1.24,0.87,12.77,13.51,          ,4586,ELLIPTICAL GALAXY
NGC 5330  ,ESO 445-68   ,13 52 59.7,-28 28 10,.E.....   ,0.59,      ,14.81,                ,          ,4762,ELLIPTICAL GALAXY
NGC 5557  ,UGC 9161     ,14 18 26.2,+36 29 38,.E.1...   ,1.36,1,12.13,13.47,          ,3277,ELLIPTICAL GALAXY
And III   ,             ,00 35 18.0,+36 30 00,.E?....   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6851  ,ESO 233-21   ,20 03 33.6,-48 17 02,.E...*.   ,1.31,0.75,12.77,13.86,          ,3023,ELLIPTICAL GALAXY
NGC 1567  ,ESO 202-10   ,04 21 08.7,-48 15 16,.E.0.P*   ,1.13,0.83,13.34,                ,          ,4380,ELLIPTICAL GALAXY
NGC 3093  ,MCG 0-26-7   ,10 00 53.6,-02 58 21,.E.....   ,0.84,      ,15.18,                ,          ,5941,ELLIPTICAL GALAXY
