name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
A 1221+04 ,MCG 1-32-46  ,12 24 14.4,+04 13 23,.E+..?.   ,0.9,      ,15.38,                ,204,1092,ELLIPTICAL GALAXY
          ,MCG 1-31-14  ,12 02 55.8,+04 14 00,.E.....   ,       ,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1238  ,MCG -2-9-10  ,03 10 52.7,-10 44 52,.E+....   ,1.2,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3873  ,UGC 6735     ,11 45 45.6,+19 46 28,.E.....   ,1.17,0.69,14.01,14.55,          ,5457,ELLIPTICAL GALAXY
          ,CGCG 108-80  ,16 02 48.0,+19 47 00,.E.....   ,0.83,      ,15.34,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1361  ,MCG -1-10-5  ,03 34 17.8,-06 15 53,.E+..P*   ,1.2,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 659    ,MCG -1-28-10 ,10 58 03.9,-06 15 38,.E+....   ,1.15,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 711    ,MCG 8-21-62  ,11 34 46.6,+48 57 23,.E?....   ,       ,      ,15.11,                ,          ,9775,ELLIPTICAL GALAXY
          ,UGC 1802     ,02 21 06.6,+48 57 38,.E.....   ,1.2,      ,14.3,                ,          ,                   ,ELLIPTICAL GALAXY
A 1718+49A,MCG 8-31-41  ,17 19 14.5,+48 58 49,.E.0...   ,0.95,      ,15.12,                ,          ,7435,ELLIPTICAL GALAXY
          ,UGC 1308     ,01 50 51.2,+36 16 31,.E.....   ,1.36,      ,13.77,                ,          ,5212,ELLIPTICAL GALAXY
          ,CGCG 39-125  ,11 20 12.0,+04 19 00,.E.....   ,       ,      ,14.6,                ,          ,                   ,ELLIPTICAL GALAXY
IC 709    ,MCG 8-21-57  ,11 34 14.5,+49 02 34,.E?....   ,       ,      ,14.9,                ,          ,9600,ELLIPTICAL GALAXY
IC 708    ,UGC 6549     ,11 33 59.8,+49 03 40,.E.....   ,1.15,      ,13.96,                ,          ,9643,ELLIPTICAL GALAXY
          ,UGC 746      ,01 11 36.1,+49 07 15,.E.....   ,1.2,      ,14,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10726    ,17 04 18.0,+78 39 00,.E.....   ,1.04,      ,15,                ,          ,17905,ELLIPTICAL GALAXY
          ,UGC 5596     ,10 23 54.0,+78 51 00,.E...?.   ,1.11,      ,14.31,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 454-15  ,23 15 33.2,+19 02 52,.E?....   ,0.85,      ,15.26,14.74,          ,5295,ELLIPTICAL GALAXY
NGC 2673  ,UGC 4620     ,08 49 24.8,+19 04 26,.E.0.P.   ,1.09,      ,        ,                ,          ,3758,ELLIPTICAL GALAXY
NGC 2672  ,UGC 4619     ,08 49 22.3,+19 04 30,.E.1+..   ,1.47,0.85,12.14,15,          ,4164,ELLIPTICAL GALAXY
          ,             ,00 34 09.8,-07 36 08,.E?....   ,       ,      ,        ,                ,          ,7871,ELLIPTICAL GALAXY
          ,UGC 1661     ,02 10 14.8,+41 31 17,.E...*.   ,1.15,      ,14.83,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4018     ,07 47 02.1,+41 32 12,.E...*.   ,1,      ,        ,                ,          ,8491,ELLIPTICAL GALAXY
NGC 3017  ,MCG 0-25-19  ,09 49 03.0,-02 49 20,.E...*.   ,1.01,      ,14.05,                ,          ,                   ,ELLIPTICAL GALAXY
A 1648+53E,MCG 9-27-95  ,16 49 12.0,+53 27 00,.E.0.*.   ,0.52,      ,        ,                ,          ,7901,ELLIPTICAL GALAXY
          ,UGC 663      ,01 04 30.0,-00 09 00,.E.....   ,1.04,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1382     ,01 54 36.0,-00 09 00,.E...?.   ,1.03,      ,14.24,                ,          ,5633,ELLIPTICAL GALAXY
NGC 636   ,MCG -1-5-13  ,01 39 06.6,-07 30 47,.E.3...   ,1.45,0.81,12.3,14.36,          ,1875,ELLIPTICAL GALAXY
NGC 1274  ,MCG 7-7-62   ,03 19 41.0,+41 32 56,.E.3...   ,0.72,0.26,14.8,13.42,          ,6549,ELLIPTICAL GALAXY
NGC 1278  ,UGC 2670     ,03 19 54.4,+41 33 50,.E...P*   ,1.19,0.91,13.6,14.33,          ,6148,ELLIPTICAL GALAXY
          ,UGC 2330     ,02 51 12.0,+41 34 00,.E.....   ,1.11,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1129  ,UGC 2373     ,02 54 27.7,+41 34 49,.E.....   ,1.6,1.37,13.5,                ,          ,5317,ELLIPTICAL GALAXY
IC 1907   ,MCG 7-7-61   ,03 19 34.3,+41 34 50,.E?....   ,       ,0.43,15.2,                ,          ,4522,ELLIPTICAL GALAXY
NGC 2675  ,UGC 4629     ,08 52 05.1,+53 37 03,.E.....   ,1.18,      ,14.03,14.86,          ,9277,ELLIPTICAL GALAXY
NGC 5812  ,MCG -1-38-16 ,15 00 55.8,-07 27 29,.E.0...   ,1.33,0.93,12.15,13.7,          ,1992,ELLIPTICAL GALAXY
          ,UGC 3285     ,05 18 54.7,+19 10 31,.E?....   ,1.08,      ,        ,                ,          ,5937,ELLIPTICAL GALAXY
          ,UGC 3840     ,07 25 20.7,+19 10 36,.E.....   ,1.04,      ,14,                ,          ,8388,ELLIPTICAL GALAXY
A 0829+19B,             ,08 32 00.0,+19 11 00,CE.0.P$   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1281  ,MCG 7-7-67   ,03 20 06.4,+41 37 48,.E.5...   ,1.01,0.63,14.4,14.13,          ,4303,ELLIPTICAL GALAXY
          ,CGCG 261-8   ,06 53 36.0,+54 58 00,.E?....   ,0.6,      ,15.45,                ,          ,10932,ELLIPTICAL GALAXY
NGC 5484  ,CGCG 272-29  ,14 06 47.5,+55 01 44,.E.2...   ,       ,      ,15.7,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10579    ,16 49 56.0,+53 57 16,.E.....   ,1.08,      ,14.21,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 11-27   ,11 13 04.8,+00 00 04,.E+....   ,       ,      ,14.71,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 996   ,UGC 2123     ,02 38 39.6,+41 38 52,.E.....   ,1.15,      ,14.03,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6311  ,UGC 10741    ,17 10 43.6,+41 39 04,.E.....   ,1.04,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 205   ,UGC 426      ,00 40 22.5,+41 41 11,.E.5.P.   ,2.34,1.75,9.08,14.85,          ,-60,ELLIPTICAL GALAXY
          ,MCG -1-1-20  ,00 00 21.3,-02 36 38,.E+..*.   ,1.15,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 2338-02 ,             ,23 40 41.9,-02 35 06,CE...*.   ,0.66,      ,        ,                ,          ,7149,ELLIPTICAL GALAXY
          ,CGCG 14-17   ,12 22 00.0,-02 35 00,CE...?.   ,       ,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3646     ,07 04 12.0,+54 13 00,.E.....   ,1.08,      ,14.57,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 13-83   ,12 08 23.8,+00 06 36,CE.....   ,       ,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG -1-25-42 ,09 49 03.0,-07 09 22,.E...*.   ,1.18,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 1230+09 ,MCG 2-32-124 ,12 32 33.5,+09 10 25,.E...*.   ,0.54,      ,15.9,                ,86,1095,ELLIPTICAL GALAXY
          ,CGCG 10-78   ,11 07 18.0,-02 32 00,.E.....   ,       ,      ,15.03,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6098  ,MCG 3-41-145 ,16 15 30.0,+19 25 00,.E+....   ,1.16,      ,        ,                ,          ,12408,ELLIPTICAL GALAXY
NGC 6099  ,MCG 3-41-146 ,16 15 36.0,+19 25 00,.E+....   ,1.12,      ,        ,                ,          ,12708,ELLIPTICAL GALAXY
NGC 4671  ,MCG -1-33-4  ,12 45 47.6,-07 04 10,.E+..P*   ,1.11,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 596   ,MCG -1-5-5   ,01 32 52.1,-07 01 57,.E+..P*   ,1.51,0.96,11.71,13.94,          ,1923,ELLIPTICAL GALAXY
NGC 3476  ,MCG 2-28-32  ,10 58 06.0,+09 16 00,.E.....   ,       ,      ,14.8,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4035     ,07 50 08.8,+55 23 03,.E.....   ,0.9,      ,14.07,                ,          ,5835,ELLIPTICAL GALAXY
A 0835-02 ,UGC 4508     ,08 37 56.1,-02 27 47,CE...?.   ,0.63,      ,15,                ,          ,1754,ELLIPTICAL GALAXY
IC 312    ,UGC 2644     ,03 18 08.4,+41 45 16,.E...*.   ,0.99,      ,14.4,                ,          ,4938,ELLIPTICAL GALAXY
NGC 4360  ,UGC 7484     ,12 24 21.7,+09 17 41,.E.....   ,1.16,      ,13.51,13.83,          ,6797,ELLIPTICAL GALAXY
          ,UGC 10493    ,16 37 54.0,+55 25 00,.E...*.   ,1.04,      ,14.58,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3957     ,07 40 58.4,+55 25 39,.E.....   ,1.08,0.79,        ,14.39,          ,10270,ELLIPTICAL GALAXY
NGC 1653  ,UGC 3153     ,04 45 47.6,-02 23 29,.E+..*.   ,1.17,0.83,12.74,13.77,          ,4260,ELLIPTICAL GALAXY
A 0943+54B,MCG 9-16-44  ,09 46 48.0,+54 28 00,.E?....   ,       ,      ,15.2,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10046    ,15 49 24.0,+00 12 00,.E+..P.   ,1.1,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 394-14  ,04 48 18.0,+00 13 00,.E?....   ,0.78,      ,15.35,                ,          ,8460,ELLIPTICAL GALAXY
          ,CGCG 12-29   ,11 34 46.9,+00 14 07,.E.....   ,       ,      ,14.81,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4761  ,MCG -1-33-39 ,12 53 09.9,-09 11 53,.E+....   ,0.65,      ,        ,12.62,          ,4253,ELLIPTICAL GALAXY
NGC 7449  ,UGC 12292    ,22 59 37.7,+39 08 45,.E...*.   ,1.01,      ,14.97,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5407  ,UGC 8930     ,14 00 50.4,+39 09 22,.E?....   ,1.15,      ,14.15,                ,          ,5511,ELLIPTICAL GALAXY
NGC 5163  ,UGC 8453     ,13 26 54.0,+52 45 00,.E.....   ,1.04,      ,14.61,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 9-18-14  ,10 44 18.0,+52 46 00,.E?....   ,0.6,      ,14.9,                ,          ,7621,ELLIPTICAL GALAXY
          ,MCG -1-25-4  ,09 35 42.0,-04 43 00,.E?....   ,       ,      ,        ,                ,188,3794,ELLIPTICAL GALAXY
          ,MCG -1-4-52  ,01 27 33.5,-04 40 58,.E?....   ,       ,      ,        ,                ,          ,14451,ELLIPTICAL GALAXY
NGC 731   ,MCG -2-5-73  ,01 54 56.2,-09 00 39,.E+..*.   ,1.24,0.72,        ,14.08,          ,                   ,ELLIPTICAL GALAXY
NGC 4732  ,UGC 7988     ,12 50 06.0,+52 51 00,.E.....   ,1.08,      ,14.85,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2474  ,MCG 9-13-96  ,07 57 59.4,+52 51 25,.E.0...   ,0.79,      ,        ,                ,          ,5675,ELLIPTICAL GALAXY
NGC 2475  ,MCG 9-13-97  ,07 58 00.5,+52 51 44,.E.1...   ,0.9,0.68,        ,13.49,          ,5629,ELLIPTICAL GALAXY
NGC 4915  ,MCG -1-33-69 ,13 01 28.1,-04 32 48,.E.0...   ,1.21,0.55,12.83,13.81,          ,3064,ELLIPTICAL GALAXY
A 0331+39 ,UGC 2783     ,03 34 18.5,+39 21 24,.E...?.   ,1.11,      ,13.6,14.37,          ,6170,ELLIPTICAL GALAXY
IC 1211   ,UGC 10314    ,16 16 52.5,+53 00 22,.E.....   ,1.01,      ,13.72,                ,          ,5785,ELLIPTICAL GALAXY
NGC 6158  ,MCG 7-34-41  ,16 27 41.1,+39 23 00,.E?....   ,       ,      ,15.43,                ,          ,9062,ELLIPTICAL GALAXY
          ,UGC 5193     ,09 43 33.1,+39 24 55,.E...*.   ,1.17,      ,14.8,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 39-104  ,11 17 30.0,+07 17 00,.E.....   ,       ,      ,14.9,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5942  ,MCG 1-40-2   ,15 31 42.3,+07 17 11,.E?....   ,       ,      ,15.2,                ,          ,10196,ELLIPTICAL GALAXY
NGC 4773  ,MCG -1-33-41 ,12 53 36.0,-08 38 19,.E+..P*   ,1.12,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 7-14-11  ,06 43 12.2,+39 27 34,.E?....   ,       ,      ,15.2,                ,          ,13005,ELLIPTICAL GALAXY
NGC 4365  ,UGC 7488     ,12 24 27.9,+07 19 06,.E.3...   ,1.84,1.22,10.48,14.39,          ,1154,ELLIPTICAL GALAXY
NGC 5209  ,UGC 8522     ,13 32 36.0,+07 20 00,.E.....   ,1.08,      ,14.04,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4699     ,08 58 45.6,+39 30 36,.E?....   ,1.11,      ,14.28,                ,          ,8339,ELLIPTICAL GALAXY
A 1648+53A,MCG 9-27-91  ,16 49 00.0,+53 24 00,.E.2.P*   ,0.52,      ,        ,                ,          ,9059,ELLIPTICAL GALAXY
A 1648+53C,MCG 9-27-94  ,16 49 06.0,+53 25 00,.E.1.*.   ,       ,      ,15.6,                ,          ,8914,ELLIPTICAL GALAXY
          ,ESO 44-18    ,17 40 18.4,-74 59 05,.E.0+*.   ,1.09,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6166  ,UGC 10409    ,16 28 38.4,+39 33 04,.E+2.P.   ,1.29,1.2,13.32,13.9,          ,9258,ELLIPTICAL GALAXY
A 1648+53D,MCG 9-27-96  ,16 49 06.0,+53 26 00,.E.2.P*   ,       ,      ,        ,                ,          ,9136,ELLIPTICAL GALAXY
          ,MCG -1-22-18 ,08 31 46.5,-04 07 12,.E+....   ,1.22,1.18,        ,14.49,          ,                   ,ELLIPTICAL GALAXY
NGC 519   ,CGCG 385-103 ,01 24 28.8,-01 38 31,.E+..?.   ,0.7,      ,15.28,                ,          ,5387,ELLIPTICAL GALAXY
IC 1696   ,UGC 973      ,01 24 52.5,-01 37 04,.E+....   ,0.94,      ,14.4,14.21,          ,5823,ELLIPTICAL GALAXY
NGC 5845  ,UGC 9700     ,15 06 01.2,+01 38 05,.E...*.   ,0.91,      ,14.2,12.57,          ,1462,ELLIPTICAL GALAXY
          ,UGC 3198     ,04 54 19.2,+01 38 25,.E...*.   ,0.99,      ,14.89,                ,          ,8690,ELLIPTICAL GALAXY
NGC 2795  ,UGC 4887     ,09 16 04.2,+17 37 46,.E.....   ,1.15,      ,13.81,                ,          ,8465,ELLIPTICAL GALAXY
NGC 4589  ,UGC 7797     ,12 37 25.6,+74 11 41,.E.2...   ,1.5,1.11,11.8,13.98,          ,2121,ELLIPTICAL GALAXY
NGC 7735  ,UGC 12744    ,23 42 12.0,+26 13 00,.E.....   ,1.1,      ,14.56,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 492      ,00 48 05.2,-01 33 59,.E+..*/   ,1.08,      ,14.28,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7391  ,UGC 12211    ,22 50 36.5,-01 32 34,.E...*.   ,1.23,0.77,13.27,14.09,          ,3177,ELLIPTICAL GALAXY
          ,MCG 0-28-29  ,11 04 41.4,-01 32 30,.E.....   ,0.52,      ,15.4,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 236      ,00 24 58.8,+43 39 45,.E.....   ,0.85,      ,14.8,                ,          ,5292,ELLIPTICAL GALAXY
NGC 6329  ,UGC 10771    ,17 14 15.3,+43 41 04,.E.....   ,1.26,      ,13.8,                ,          ,8406,ELLIPTICAL GALAXY
          ,UGC 11572    ,20 29 12.0,+10 45 00,.E.....   ,0.94,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4122     ,07 58 54.0,+59 06 00,.E.....   ,1.2,      ,14.29,                ,          ,6079,ELLIPTICAL GALAXY
          ,UGC 10646    ,16 58 24.0,+59 07 00,.E.....   ,1.13,      ,14.77,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10988    ,17 46 47.7,+59 14 47,.E.....   ,1.11,      ,14.18,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 10-20-59 ,13 59 48.0,+59 15 00,.E?....   ,0.9,      ,15.16,                ,          ,10662,ELLIPTICAL GALAXY
NGC 5813  ,UGC 9655     ,15 01 11.2,+01 42 08,.E.1+..   ,1.62,1.28,11.76,14.19,          ,1933,ELLIPTICAL GALAXY
          ,UGC 10853    ,17 22 30.0,+74 22 00,.E.....   ,1.08,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4448     ,08 33 41.4,+74 24 20,.E.....   ,0.9,      ,14.39,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4648  ,UGC 7868     ,12 41 45.4,+74 25 18,.E.3...   ,1.33,      ,12.53,14.28,          ,1617,ELLIPTICAL GALAXY
IC 2435   ,UGC 4782     ,09 06 50.0,+26 16 30,.E.....   ,0.88,      ,15.27,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1411   ,UGC 11850    ,21 56 00.9,-01 30 56,.E.....   ,0.93,      ,14.35,                ,          ,8164,ELLIPTICAL GALAXY
NGC 6172  ,UGC 10352    ,16 22 10.3,-01 30 55,.E+..*.   ,0.99,      ,13.83,                ,          ,5032,ELLIPTICAL GALAXY
IC 1262   ,UGC 10900    ,17 33 02.1,+43 45 35,.E.....   ,1.08,0.61,14.62,14.43,          ,                   ,ELLIPTICAL GALAXY
NGC 4482  ,UGC 7640     ,12 30 10.6,+10 46 48,.E.....   ,1.23,      ,13.66,                ,          ,1786,ELLIPTICAL GALAXY
          ,UGC 11605    ,20 39 18.0,+10 47 00,.E.....   ,1.08,      ,14.58,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7458  ,UGC 12309    ,23 01 28.3,+01 45 13,.E.....   ,1.14,0.68,13.54,14.13,          ,5114,ELLIPTICAL GALAXY
NGC 5982  ,UGC 9961     ,15 38 40.2,+59 21 22,.E.3...   ,1.41,0.9,12.16,13.78,          ,3067,ELLIPTICAL GALAXY
NGC 3894  ,UGC 6779     ,11 48 51.4,+59 25 01,.E.4+..   ,1.45,0.93,12.66,14.34,          ,3314,ELLIPTICAL GALAXY
A 1000+59 ,UGC 5408     ,10 03 51.9,+59 26 11,.E?....   ,0.74,      ,14.4,13.38,          ,2707,ELLIPTICAL GALAXY
NGC 533   ,UGC 992      ,01 25 31.5,+01 45 35,.E.3.*.   ,1.58,1.18,12.32,14.79,          ,5603,ELLIPTICAL GALAXY
NGC 6047  ,MCG 3-41-87  ,16 05 08.8,+17 43 42,.E+....   ,1.03,0.77,14.74,14.41,          ,9553,ELLIPTICAL GALAXY
          ,UGC 10949    ,17 38 42.0,+74 50 00,.E.....   ,1,      ,14.65,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 12517    ,23 19 54.5,+43 57 26,.E...?.   ,1.15,      ,14,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 12573    ,23 23 11.9,+43 57 32,.E...*.   ,1.03,      ,14.6,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 14-80   ,12 37 48.0,-01 20 47,.E+..?.   ,       ,      ,15.1,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 547   ,UGC 1009     ,01 26 00.8,-01 20 38,.E.1...   ,1.13,      ,13.16,                ,          ,5522,ELLIPTICAL GALAXY
NGC 4733  ,UGC 7997     ,12 51 06.9,+10 54 45,.E+..*.   ,1.3,0.99,13.24,13.01,          ,871,ELLIPTICAL GALAXY
IC 3490   ,CGCG 70-162  ,12 33 14.0,+10 55 34,.E?....   ,0.8,      ,15.62,14.23,          ,24,ELLIPTICAL GALAXY
NGC 821   ,UGC 1631     ,02 08 21.1,+10 59 44,.E.6.$.   ,1.41,1.22,12.12,13.2,          ,1782,ELLIPTICAL GALAXY
NGC 4073  ,UGC 7060     ,12 04 26.5,+01 53 48,.E+....   ,1.5,1.2,12.69,14.44,          ,5840,ELLIPTICAL GALAXY
IC 832    ,MCG 5-30-119 ,12 53 59.0,+26 26 38,.E?....   ,       ,      ,14.9,                ,          ,7007,ELLIPTICAL GALAXY
NGC 7052  ,UGC 11718    ,21 18 33.1,+26 26 55,.E.....   ,1.4,      ,13.4,                ,          ,5136,ELLIPTICAL GALAXY
IC 4436   ,MCG 5-34-45  ,14 27 54.0,+26 28 00,.E?....   ,1.02,      ,14.58,                ,          ,9794,ELLIPTICAL GALAXY
NGC 1410  ,MCG 0-10-12  ,03 41 10.8,-01 17 57,.E...P*   ,1.07,      ,        ,                ,          ,7492,ELLIPTICAL GALAXY
NGC 1132  ,UGC 2359     ,02 52 51.6,-01 16 33,.E.....   ,1.4,1.05,13.35,14.58,          ,6949,ELLIPTICAL GALAXY
          ,UGC 10480    ,16 37 30.0,+44 08 00,.E...?.   ,1.09,      ,14.58,                ,          ,9852,ELLIPTICAL GALAXY
NGC 1004  ,UGC 2112     ,02 37 41.8,+01 58 28,.E+....   ,1.14,0.88,13.85,14.18,          ,6497,ELLIPTICAL GALAXY
NGC 2314  ,UGC 3677     ,07 10 32.4,+75 19 38,.E.3...   ,1.24,0.66,12.8,14.17,          ,3980,ELLIPTICAL GALAXY
NGC 5912  ,MCG 13-11-11 ,15 11 36.3,+75 20 43,.E?....   ,       ,      ,14.7,                ,          ,7409,ELLIPTICAL GALAXY
NGC 4291  ,UGC 7397     ,12 20 18.2,+75 22 21,.E.....   ,1.28,0.76,12.27,13.61,          ,1898,ELLIPTICAL GALAXY
NGC 3826  ,UGC 6671     ,11 42 33.0,+26 29 22,.E.....   ,0.95,      ,14.4,                ,          ,9020,ELLIPTICAL GALAXY
NGC 4555  ,UGC 7762     ,12 35 41.6,+26 31 24,.E.....   ,1.28,      ,13.11,                ,          ,6691,ELLIPTICAL GALAXY
          ,UGC 579      ,00 56 16.1,-01 15 20,.E.....   ,1.16,0.79,14.36,14.98,          ,13319,ELLIPTICAL GALAXY
          ,UGC 1030     ,01 27 12.0,-01 15 00,.E.....   ,1,      ,14.57,                ,          ,4849,ELLIPTICAL GALAXY
          ,UGC 583      ,00 56 24.0,-01 14 00,.E...*.   ,1.04,      ,14.38,                ,          ,11614,ELLIPTICAL GALAXY
          ,UGC 836      ,01 18 54.0,+44 17 00,.E...*.   ,1.13,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4040  ,UGC 7013     ,12 02 06.0,+17 49 00,.E.....   ,1.29,      ,14.3,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5217  ,UGC 8546     ,13 34 06.0,+17 51 32,.E.....   ,1.18,      ,13.56,                ,          ,8071,ELLIPTICAL GALAXY
NGC 3818  ,MCG -1-30-23 ,11 41 57.4,-06 09 21,.E.5...   ,1.31,0.87,12.51,13.67,          ,1364,ELLIPTICAL GALAXY
NGC 3490  ,MCG 2-28-36  ,10 59 54.0,+09 21 00,.E.....   ,       ,      ,14.8,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 2-39-28  ,15 23 30.0,+09 21 00,.E?....   ,       ,      ,14.7,                ,          ,10906,ELLIPTICAL GALAXY
IC 1079   ,UGC 9611     ,14 56 36.2,+09 22 11,.E.....   ,1.24,      ,13.9,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10733    ,17 10 00.0,+32 29 00,.E.....   ,0.96,      ,14.82,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 380   ,UGC 682      ,01 07 18.1,+32 29 02,.E.2...   ,1.14,0.71,13.63,14.17,          ,4536,ELLIPTICAL GALAXY
NGC 3159  ,MCG 7-21-21  ,10 13 53.2,+38 39 12,.E.2.P*   ,1.32,      ,14.1,16.22,          ,6910,ELLIPTICAL GALAXY
NGC 3161  ,MCG 7-21-22  ,10 13 59.5,+38 39 21,.E.2...   ,1.32,      ,14.5,                ,          ,6164,ELLIPTICAL GALAXY
NGC 910   ,UGC 1875     ,02 25 26.8,+41 49 27,.E+....   ,1.3,0.95,        ,14.67,          ,5256,ELLIPTICAL GALAXY
NGC 2513  ,UGC 4184     ,08 02 25.0,+09 24 46,.E.....   ,1.4,1.04,12.81,14.34,          ,4540,ELLIPTICAL GALAXY
          ,MCG 2-32-85  ,12 29 07.0,+09 26 30,dE.....   ,0.75,      ,        ,                ,106,976,ELLIPTICAL GALAXY
NGC 6964  ,UGC 11629    ,20 47 24.0,+00 18 02,.E+..P*   ,1.23,0.47,13.72,14.82,          ,3983,ELLIPTICAL GALAXY
NGC 7739? ,CGCG 381-38  ,23 44 30.3,+00 19 11,.E+..*.   ,1,      ,14.64,                ,          ,                   ,ELLIPTICAL GALAXY
IC 2967   ,MCG 5-28-38  ,11 50 48.0,+30 52 00,.E?....   ,       ,      ,14.7,                ,          ,6724,ELLIPTICAL GALAXY
          ,UGC 11950    ,22 12 31.3,+38 40 55,.E...*.   ,1.11,      ,13.9,                ,          ,6397,ELLIPTICAL GALAXY
NGC 4697  ,MCG -1-33-10 ,12 48 35.9,-05 48 02,.E.6...   ,1.86,1.38,10.1,13.94,          ,1137,ELLIPTICAL GALAXY
NGC 2497  ,UGC 4168     ,08 02 11.6,+56 56 33,.E?....   ,1.15,      ,14.15,                ,          ,8234,ELLIPTICAL GALAXY
NGC 6370  ,UGC 10836    ,17 23 25.2,+56 58 33,.E.....   ,1.15,      ,13.88,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,23 54 14.0,+00 21 25,.E?....   ,       ,      ,        ,                ,          ,8257,ELLIPTICAL GALAXY
NGC 6961  ,CGCG 374-14  ,20 47 10.5,+00 21 44,.E+..P?   ,0.75,      ,14.74,                ,          ,3951,ELLIPTICAL GALAXY
          ,MCG 0-28-15  ,10 49 41.0,+00 21 48,.E?....   ,       ,      ,14.7,                ,          ,11482,ELLIPTICAL GALAXY
          ,UGC 7813     ,12 39 01.1,+00 21 56,.E...*.   ,0.67,      ,14.9,                ,          ,6858,ELLIPTICAL GALAXY
NGC 4627  ,UGC 7860     ,12 41 59.7,+32 34 29,.E.4.P.   ,1.41,1,12.93,14.72,          ,785,ELLIPTICAL GALAXY
IC 3022   ,MCG 7-25-39  ,12 10 02.3,+38 44 24,.E?....   ,       ,      ,14.47,                ,          ,6248,ELLIPTICAL GALAXY
NGC 3158  ,UGC 5511     ,10 13 50.8,+38 45 55,.E.3.*.   ,1.3,0.9,12.74,14.29,          ,6858,ELLIPTICAL GALAXY
NGC 1265  ,UGC 2651     ,03 18 15.8,+41 51 27,.E+....   ,1.26,1.14,        ,14.37,          ,7639,ELLIPTICAL GALAXY
          ,UGC 10693    ,17 04 53.3,+41 51 54,.E.....   ,1.26,      ,13.81,                ,          ,                   ,ELLIPTICAL GALAXY
